"brood_year","Apr3","May3","Jun3","Jul3","Aug3","Sept3","Oct3","Nov3","Apr4","May4","Jun4","Jul4","Aug4","Sept4","Oct4","Nov4"
2000,0,19.8078156452463,31.1278404447015,40.1371342089203,17.6665590708579,0,0,0,0,0,3.50292315189031,0,0,0,0,0
2001,0,13.1829613163201,17.5065756116394,15.6398227202251,0,0,0,0,5.59942817159551,0,0,0,0,0,0,0
2002,80.8295061232157,300.949639504109,335.055555265274,473.309072613784,64.188014280226,7.03378411920604,2.58709353187924,13.4920094152889,15.0642105859841,8.19183412987286,13.2780124165422,19.0524042829686,8.71253339671341,8.74713171594705,0,4.37256157499332
2003,81.1755025771861,99.4314149099169,190.773118550216,153.515014126409,46.1513063101545,5.86744761216482,0,2.00551651100543,5.339462402768,3.11386922594084,5.51923507819925,10.5128183618598,0,1.60639176787776,0,0
2004,8.04037545644742,0,4.12439515991738,9.29567396187809,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,10.112959880107,7.49134863180502,14.4213988968733,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,2.05250635392067,0,0,0
2008,0,0,0,4.99374194826454,0,0,0,0,0,5.54302955015494,0,0,0,0,0,0
2009,31.9873011095127,119.403227275627,104.931572672552,63.5393170201264,132.244379011928,5.04174503099482,2.18213223225893,0,0,0,0,0,0,0,0,0
2010,0,0,3.33673933071317,22.1968163852236,34.9998704771412,6.26029077895898,0,0,0,0,2.34770524602757,4.06184687704492,0,0,0,0
2011,0,9.64925074960397,17.1677337221452,80.2602147621998,44.6663251690693,0,13.2984819646454,0,0,0,0,0,0,0,0,0
2012,28.320134738739,27.4467496742393,3.21848279930263,53.5458484019561,51.533356106104,10.777356861958,2.78258436066095,0,0,2.97671139428408,0,0,0,0,0,0
2013,0,0,0,2.77712391546473,0,0,0,0,0,0,2.59728755530175,0,0,0,0,0
2014,15.4225613725191,7.154974358029,13.5426949525707,12.3004583489835,28.4237749024706,6.17938214469563,0,0,0,0,0,0,0,0,0,0
2015,140.943745700824,88.372650850118,121.348472694659,98.8398821866738,73.4137352200669,4.51559534822874,4.99019025152807,0,0,0,0,0,2.88538476296124,3.17267621868622,0,0
2016,86.9429514746448,60.1806829938915,169.059892972808,123.341913584243,51.2061556662985,57.1425789443976,9.30897636965326,0,0,7.10293060287106,11.2554081494395,0,0,0,2.5392606545835,0
2017,23.3095801372652,76.8251286122892,141.764792545282,81.2573551960899,91.0746639034765,5.84444215727845,2.78370822517226,0,0,0,0,0,0,0,0,0
